Date,Open,High,Low,Close,Adj Close,Volume
2021-09-23,405.709991,410.320007,405.470001,408.779999,391.684662,4098000
2021-09-24,407.170013,410.130005,406.950012,409.459991,392.336212,3417700
2021-09-27,408.420013,409.570007,407.589996,408.299988,391.224762,3546600
2021-09-28,405.549988,405.869995,399.329987,400.140015,383.406067,8234300
2021-09-29,400.100006,401.790009,398.859985,399.459991,384.009644,4724200
2021-09-30,400.850006,401.519989,394.339996,394.399994,379.145386,9511200
2021-10-01,396.230011,400.850006,392.769989,399.119995,383.682831,8482200
2021-10-04,398.119995,398.940002,391.959991,394.209991,378.962799,8820400
2021-10-05,395.559998,400.350006,394.790009,398.040009,382.644623,5523200
2021-10-06,394.649994,400.019989,393.059998,399.809998,384.346161,6590000
2021-10-07,403.070007,406.049988,402.850006,403.250000,387.653137,4409200
2021-10-08,404.040009,404.390015,401.940002,402.489990,386.922516,3960900
2021-10-11,401.910004,404.739990,399.559998,399.559998,384.105835,3695700
2021-10-12,400.549988,400.920013,397.869995,398.760010,383.336792,6201300
2021-10-13,399.640015,400.880005,396.750000,400.040009,384.567291,6492400
2021-10-14,403.700012,406.950012,403.220001,406.760010,391.027344,3785200
2021-10-15,408.920013,410.260010,408.279999,409.929993,394.074738,3501600
2021-10-18,408.200012,411.459991,407.529999,411.179993,395.276398,3402700
2021-10-19,412.739990,414.380005,412.140015,414.380005,398.352661,2838300
2021-10-20,414.739990,416.220001,414.649994,415.989990,399.900360,3208200
2021-10-21,415.380005,417.239990,414.940002,417.010010,400.880920,2579500
2021-10-22,416.579987,418.000000,414.700012,416.589996,400.477173,3648900
2021-10-25,417.640015,419.140015,415.929993,418.750000,402.553619,2511500
2021-10-26,420.269989,421.529999,418.859985,419.149994,402.938141,3085300
2021-10-27,419.660004,420.290009,417.279999,417.329987,401.188538,2873500
2021-10-28,418.779999,421.440002,418.750000,421.410004,405.110718,3643600
2021-10-29,419.149994,422.519989,418.869995,422.160004,405.831696,4637400
2021-11-01,423.190002,423.570007,421.279999,423.049988,406.687256,3937300
2021-11-02,423.149994,424.959991,423.010010,424.690002,408.263855,2989200
2021-11-03,424.140015,427.660004,423.690002,427.250000,410.724823,3562900
2021-11-04,427.850006,429.369995,427.540009,429.250000,412.647491,4287300
2021-11-05,431.549988,432.760010,429.299988,430.709991,414.051025,4942900
2021-11-08,431.880005,432.339996,430.500000,431.230011,414.550964,3511600
2021-11-09,431.559998,431.750000,428.339996,429.720001,413.099304,4696000
2021-11-10,428.089996,429.730011,424.809998,426.260010,409.773132,6350700
2021-11-11,427.700012,427.820007,426.390015,426.399994,409.907715,3634600
2021-11-12,427.660004,430.170013,426.730011,429.570007,412.955139,3655500
2021-11-15,430.950012,431.010010,428.649994,429.769989,413.147369,3122300
2021-11-16,429.519989,432.589996,429.470001,431.410004,414.723938,3267000
2021-11-17,431.239990,431.390015,429.839996,430.369995,413.724182,3764900
2021-11-18,431.440002,432.170013,428.799988,431.859985,415.156555,4732200
2021-11-19,431.869995,432.989990,430.380005,431.049988,414.377838,4886200
2021-11-22,432.929993,435.410004,429.720001,429.910004,413.281891,4868300
2021-11-23,429.570007,431.290009,427.040009,430.470001,413.820282,6795200
2021-11-24,428.559998,431.750000,427.709991,431.529999,414.839325,4569600
2021-11-26,425.190002,426.519989,420.899994,422.140015,405.812500,7702500
2021-11-29,426.709991,428.980011,424.549988,427.239990,410.715271,6300800
2021-11-30,424.799988,426.630005,418.630005,419.059998,402.851624,8657600
2021-12-01,424.470001,427.220001,413.970001,414.239990,398.218018,8337000
2021-12-02,414.420013,422.059998,414.029999,420.559998,404.293610,10417700
2021-12-03,422.119995,423.190002,412.769989,416.839996,400.717468,10228900
2021-12-06,419.410004,423.660004,417.000000,421.820007,405.504883,7289500
2021-12-07,426.980011,431.100006,426.940002,430.489990,413.839539,4731900
2021-12-08,430.950012,432.140015,429.239990,431.700012,415.002716,4476500
2021-12-09,430.459991,431.320007,428.609985,428.760010,412.176453,5035400
2021-12-10,431.440002,432.959991,428.950012,432.850006,416.108307,6238300
2021-12-13,432.359985,432.660004,428.750000,429.010010,412.416748,5923900
2021-12-14,425.799988,428.239990,423.200012,426.089996,409.609741,6522900
